episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout
1,6001,1,success,585,73,86,500,500,3,17.11,7,2,1,1,0,1.211,1.00,1.00,2.14,4.118,0.9010,0.10,0.200,1.00,0.00,0.929,0.815,0.871,1.186,0.873,0.899,1.684,0.725,1.141,12,11111100111111,0.927,10.0,287,228,101,287,0,deterministic,0
2,6002,1,success,588,75,89,500,500,3,14.07,6,2,1,1,0,0.966,1.00,1.00,3.07,4.460,0.9071,0.10,0.200,1.00,0.00,1.006,1.015,0.974,1.118,0.866,1.055,2.362,0.672,1.191,12,11111101111011,1.006,10.0,269,325,177,325,0,deterministic,0
3,6003,1,success,592,81,93,500,500,3,12.03,4,2,1,1,0,0.838,1.00,1.00,2.87,1.238,0.8709,0.10,0.200,1.00,0.00,1.058,0.942,1.197,0.927,1.199,1.025,1.453,0.726,1.235,12,11011101111111,0.977,10.0,132,187,255,255,0,deterministic,0
4,6004,1,success,591,75,92,500,500,3,2.66,5,2,1,1,0,0.211,1.00,1.00,2.99,4.525,0.9237,0.10,0.200,1.00,0.00,1.081,1.104,0.992,1.061,1.134,1.112,1.929,0.647,1.104,13,11011111111111,1.041,10.0,179,475,23,475,0,deterministic,0
5,6005,1,success,584,79,85,500,500,3,10.12,8,3,1,1,0,0.696,1.00,1.00,3.18,3.353,0.9221,0.10,0.200,1.00,0.00,1.020,0.871,0.978,1.052,1.141,1.058,1.567,0.631,1.259,11,10101011111111,0.949,10.0,241,466,123,466,0,deterministic,0
6,6006,1,success,594,84,95,500,500,3,12.55,3,1,1,1,0,0.938,1.00,1.00,4.16,4.100,0.8463,0.10,0.200,1.00,0.00,0.866,0.834,0.975,0.866,0.801,0.855,2.328,0.680,1.282,9,01100111001111,0.934,10.0,60,480,215,480,0,deterministic,0
7,6007,1,success,593,84,94,500,500,3,15.44,4,3,1,1,0,1.114,1.00,1.00,5.18,0.502,0.8432,0.10,0.200,1.00,0.00,0.968,0.928,0.958,0.942,1.136,0.876,1.926,0.612,1.163,12,11111111101101,0.971,10.0,336,311,396,396,0,deterministic,0
8,6008,1,success,586,79,87,500,500,3,5.23,3,1,1,1,0,0.511,1.00,1.00,2.14,1.722,0.8929,0.10,0.200,1.00,0.00,0.912,0.822,0.907,0.886,0.965,0.982,1.603,0.752,1.334,11,11111101001111,0.930,10.0,480,134,259,480,0,deterministic,0
9,6009,1,success,601,92,102,500,500,3,6.72,4,3,1,1,0,0.462,1.00,1.00,3.95,0.525,0.9190,0.10,0.200,1.00,0.00,1.062,1.012,1.094,1.144,0.906,1.152,1.218,0.622,1.140,11,10111011111101,1.005,10.0,470,298,271,470,0,deterministic,0
10,6010,1,success,599,87,100,500,500,3,6.81,7,2,1,1,0,0.495,1.00,1.00,1.91,3.023,0.9012,0.10,0.200,1.00,0.00,0.982,0.979,1.061,1.136,0.803,0.931,1.985,0.718,1.269,11,11101011111011,0.992,10.0,472,70,273,472,0,deterministic,0
