episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode
1,6001,1,success,588,70,89,500,500,3,17.11,5,2,1,1,0,1.211,1.00,1.00,2.18,4.180,0.8938,0.10,0.200,1.00,0.00,0.929,0.815,0.871,1.186,0.873,0.899,1.684,0.725,1.141,12,11111100111111,0.927,10.0,287,228,101,287,0,sampled
2,6002,1,success,602,96,103,500,500,3,14.07,6,3,1,1,0,0.966,1.00,1.00,2.47,4.097,0.9028,0.10,0.200,1.00,0.00,1.006,1.015,0.974,1.118,0.866,1.055,2.362,0.672,1.191,12,11111101111011,1.006,10.0,269,325,177,325,0,sampled
3,6003,1,success,607,92,108,500,500,3,10.90,2,1,1,1,0,0.838,1.00,1.00,4.46,1.739,0.9031,0.10,0.200,1.00,0.00,1.058,0.942,1.197,0.927,1.199,1.025,1.453,0.726,1.235,12,11011101111111,0.977,10.0,30,455,165,455,0,sampled
4,6004,1,success,598,83,99,500,500,3,2.66,4,3,1,1,0,0.211,1.00,1.00,2.42,4.091,0.9121,0.10,0.200,1.00,0.00,1.081,1.104,0.992,1.061,1.134,1.112,1.929,0.647,1.104,13,11011111111111,1.041,10.0,179,475,23,475,0,sampled
5,6005,0,drop,168,107,110,58,500,0,0.00,7,3,1,1,0,0.696,1.00,1.00,2.95,3.100,0.8916,0.10,0.200,0.00,-0.20,1.020,0.871,0.978,1.052,1.141,1.058,1.567,0.631,1.259,11,10101011111111,0.949,10.0,241,466,123,-1,0,sampled
6,6006,0,drop,308,76,85,223,500,2,11.47,2,1,1,0,1,0.938,1.00,1.00,4.80,0.578,0.5820,0.10,0.200,0.00,-0.20,0.866,0.834,0.975,0.866,0.801,0.855,2.328,0.680,1.282,9,01100111001111,0.934,10.0,60,480,215,215,0,sampled
7,6007,0,drop,572,482,483,89,500,0,0.00,1,0,1,1,0,1.114,1.00,1.00,5.60,0.144,0.7885,0.10,0.200,0.00,-0.20,0.968,0.928,0.958,0.942,1.136,0.876,1.926,0.612,1.163,12,11111111101101,0.971,10.0,336,311,396,-1,0,sampled
8,6008,0,drop,1963,1930,1931,0,500,0,0.00,0,0,0,0,0,0.511,1.00,1.00,3.43,1.623,0.4389,0.10,0.088,0.00,-0.20,0.912,0.822,0.907,0.886,0.965,0.982,1.603,0.752,1.334,11,11111101001111,0.930,10.0,-1,-1,-1,-1,0,sampled
9,6009,1,success,691,191,192,500,500,3,6.72,4,3,1,0,1,0.462,1.00,1.00,3.39,0.361,0.8928,0.10,0.200,1.00,0.00,1.062,1.012,1.094,1.144,0.906,1.152,1.218,0.622,1.140,11,10111011111101,1.005,10.0,470,298,271,470,0,sampled
10,6010,1,success,598,84,99,500,500,3,6.81,5,2,1,1,0,0.495,1.00,1.00,4.00,3.177,0.8992,0.10,0.200,1.00,0.00,0.982,0.979,1.061,1.136,0.803,0.931,1.985,0.718,1.269,11,11101011111011,0.992,10.0,472,70,273,472,0,sampled
